year,state,quarter,totalRXImputed
2019,NV,1,3636
2019,NV,2,3521
2019,NV,3,3820
2019,NV,4,3729
2019,NY,1,28522
2019,NY,2,27166
2019,NY,3,27476
2019,NY,4,26872
2019,OH,1,19682
2019,OH,2,19575
2019,OH,3,19349
2019,OH,4,18844
2019,OK,1,1307
2019,OK,2,1279
2019,OK,3,1386
2019,OK,4,1317
2019,OR,1,5003
2019,OR,2,5185
2019,OR,3,5234
2019,OR,4,5213
2019,PA,1,12627
2019,PA,2,12460
2019,PA,3,11377
2019,PA,4,11296
2019,RI,1,1410
2019,RI,2,1353
2019,RI,3,1263
2019,RI,4,1180
2019,SC,1,2030
2019,SC,2,1876
2019,SC,3,2049
2019,SC,4,2360
2019,SD,1,391
2019,SD,2,321
2019,SD,3,398
2019,SD,4,339
2019,TN,1,4975
2019,TN,2,4980
2019,TN,3,4909
2019,TN,4,4917
2019,TX,1,8351
2019,TX,2,8346
2019,TX,3,8139
2019,TX,4,7839
2019,UT,1,951
2019,UT,2,1049
2019,UT,3,1098
2019,UT,4,1099
2019,VA,1,5909
2019,VA,2,6834
2019,VA,3,7343
2019,VA,4,7506
2019,VT,1,491
2019,VT,2,479
2019,VT,3,458
2019,VT,4,439
2019,WA,1,6734
2019,WA,2,7001
2019,WA,3,7884
2019,WA,4,6769
2019,WI,1,4812
2019,WI,2,4778
2019,WI,3,4842
2019,WI,4,4646
2019,WV,1,4467
2019,WV,2,4501
2019,WV,3,4420
2019,WV,4,4510
2020,AK,1,762
2020,AK,2,815
2020,AK,3,884
2020,AK,4,736
2020,AL,1,3311
2020,AL,2,3273
2020,AL,3,3025
2020,AL,4,3321
2020,AR,1,1943
2020,AR,2,1989
2020,AR,3,1972
2020,AR,4,2057
2020,AZ,1,6575
2020,AZ,2,6287
2020,AZ,3,5781
2020,AZ,4,4152
2020,CA,1,49330
2020,CA,2,48304
2020,CA,3,47082
2020,CA,4,33306
2020,CO,1,3475
2020,CO,2,3479
2020,CO,3,3617
2020,CO,4,3527
2020,CT,1,3034
2020,CT,2,3059
2020,CT,3,3014
2020,CT,4,3090
2020,DC,1,1267
2020,DC,2,1230
2020,DC,3,1237
2020,DC,4,960
2020,DE,1,1112
2020,DE,2,1177
2020,DE,3,1122
2020,DE,4,1088
2020,FL,1,8872
2020,FL,2,8844
2020,FL,3,8974
2020,FL,4,8908
2020,GA,1,6540
2020,GA,2,6490
2020,GA,3,5869
2020,GA,4,5324
2020,HI,1,4206
2020,HI,2,4313
2020,HI,3,4096
2020,HI,4,4171
2020,IA,1,1643
2020,IA,2,1575
2020,IA,3,3249
2020,IA,4,2829
2020,ID,1,1237
2020,ID,2,1456
2020,ID,3,1645
2020,ID,4,1745
2020,IL,1,15656
2020,IL,2,15087
2020,IL,3,14014
2020,IL,4,7821
2020,IN,1,5837
2020,IN,2,5815
2020,IN,3,6068
2020,IN,4,5448
2020,KS,1,1152
2020,KS,2,1077
2020,KS,3,1071
2020,KS,4,560
2020,KY,1,11434
2020,KY,2,10817
2020,KY,3,11323
2020,KY,4,10994
2020,LA,1,9689
2020,LA,2,10010
2020,LA,3,10218
2020,LA,4,10408
2020,MA,1,8034
2020,MA,2,7022
2020,MA,3,6522
2020,MA,4,6486
2020,MD,1,5176
2020,MD,2,5505
2020,MD,3,5491
2020,MD,4,5656
2020,ME,1,580
2020,ME,2,635
2020,ME,3,701
2020,ME,4,690
2020,MI,1,13910
2020,MI,2,13507
2020,MI,3,13638
2020,MI,4,11507
2020,MN,1,6252
2020,MN,2,5770
2020,MN,3,5583
2020,MN,4,5267
2020,MO,1,4093
2020,MO,2,4026
2020,MO,3,4725
2020,MO,4,4523
2020,MS,1,2084
2020,MS,2,2237
2020,MS,3,2151
2020,MS,4,2152
2020,MT,1,1509
2020,MT,2,1535
2020,MT,3,1515
2020,MT,4,1537
2020,NC,1,3775
2020,NC,2,2700
2020,NC,3,7564
2020,NC,4,4254
2020,ND,1,487
2020,ND,2,516
2020,ND,3,566
2020,ND,4,527
2020,NE,1,760
2020,NE,2,736
2020,NE,3,716
2020,NE,4,857
2020,NH,1,756
2020,NH,2,767
2020,NH,3,799
2020,NH,4,851
2020,NJ,1,6622
2020,NJ,2,6190
2020,NJ,3,6149
2020,NJ,4,4132
2020,NM,1,186
2020,NM,2,2614
2020,NM,3,2578
2020,NM,4,2395
2020,NV,1,3940
2020,NV,2,4030
2020,NV,3,4269
2020,NV,4,3996
2020,NY,1,26173
2020,NY,2,25653
2020,NY,3,27544
2020,NY,4,25163
2020,OH,1,18755
2020,OH,2,18436
2020,OH,3,17589
2020,OH,4,12458
2020,OK,1,1295
2020,OK,2,1364
2020,OK,3,1386
2020,OK,4,1326
2020,OR,1,5436
2020,OR,2,5344
2020,OR,3,5431
2020,OR,4,4548
2020,PA,1,10927
2020,PA,2,10358
