year,gennme,state,quarter,totalRXImputed
2017,Allopurinol,WI,4,4249
2017,Febuxostat,WI,4,362
2017,Allopurinol,WV,1,4522
2017,Febuxostat,WV,1,221
2017,Allopurinol,WV,2,4496
2017,Febuxostat,WV,2,217
2017,Allopurinol,WV,3,3005
2017,Febuxostat,WV,3,122
2017,Allopurinol,WV,4,4597
2017,Febuxostat,WV,4,201
2017,Allopurinol,WY,1,78
2017,Febuxostat,WY,1,0
2017,Allopurinol,WY,2,75
2017,Febuxostat,WY,2,0
2017,Allopurinol,WY,3,35
2017,Febuxostat,WY,3,0
2017,Allopurinol,WY,4,53
2018,Allopurinol,AK,1,577
2018,Febuxostat,AK,1,86
2018,Allopurinol,AK,2,433
2018,Febuxostat,AK,2,36
2018,Allopurinol,AK,3,820
2018,Febuxostat,AK,3,97
2018,Allopurinol,AK,4,587
2018,Febuxostat,AK,4,61
2018,Allopurinol,AL,1,2491
2018,Febuxostat,AL,1,411
2018,Allopurinol,AL,2,2428
2018,Febuxostat,AL,2,422
2018,Allopurinol,AL,3,2396
2018,Febuxostat,AL,3,440
2018,Allopurinol,AL,4,2447
2018,Febuxostat,AL,4,431
2018,Allopurinol,AR,1,1454
2018,Febuxostat,AR,1,0
2018,Allopurinol,AR,2,1439
2018,Febuxostat,AR,2,0
2018,Allopurinol,AR,3,1572
2018,Febuxostat,AR,3,0
2018,Allopurinol,AR,4,1670
2018,Febuxostat,AR,4,0
2018,Allopurinol,AZ,1,6503
2018,Febuxostat,AZ,1,409
2018,Allopurinol,AZ,2,6482
2018,Febuxostat,AZ,2,388
2018,Allopurinol,AZ,3,6468
2018,Febuxostat,AZ,3,368
2018,Allopurinol,AZ,4,6280
2018,Febuxostat,AZ,4,323
2018,Allopurinol,CA,1,48791
2018,Febuxostat,CA,1,2820
2018,Allopurinol,CA,2,49289
2018,Febuxostat,CA,2,2749
2018,Allopurinol,CA,3,49684
2018,Febuxostat,CA,3,2776
2018,Allopurinol,CA,4,49637
2018,Febuxostat,CA,4,2744
2018,Allopurinol,CO,1,3070
2018,Febuxostat,CO,1,318
2018,Allopurinol,CO,2,3244
2018,Febuxostat,CO,2,360
2018,Allopurinol,CO,3,3047
2018,Febuxostat,CO,3,340
2018,Allopurinol,CO,4,3196
2018,Febuxostat,CO,4,313
2018,Allopurinol,CT,1,2900
2018,Febuxostat,CT,1,239
2018,Allopurinol,CT,2,2762
2018,Febuxostat,CT,2,232
2018,Allopurinol,CT,3,2759
2018,Febuxostat,CT,3,218
2018,Allopurinol,CT,4,2689
2018,Febuxostat,CT,4,241
2018,Allopurinol,DC,1,901
2018,Febuxostat,DC,1,16
2018,Allopurinol,DC,2,912
2018,Febuxostat,DC,2,13
2018,Allopurinol,DC,3,808
2018,Febuxostat,DC,3,0
2018,Allopurinol,DC,4,933
2018,Febuxostat,DC,4,0
2018,Allopurinol,DE,1,567
2018,Febuxostat,DE,1,24
2018,Allopurinol,DE,2,658
2018,Febuxostat,DE,2,29
2018,Allopurinol,DE,3,623
2018,Febuxostat,DE,3,32
2018,Allopurinol,DE,4,600
2018,Febuxostat,DE,4,28
2018,Allopurinol,FL,1,9754
2018,Febuxostat,FL,1,204
2018,Allopurinol,FL,2,9539
2018,Febuxostat,FL,2,197
2018,Allopurinol,FL,3,9432
2018,Febuxostat,FL,3,212
2018,Allopurinol,FL,4,9191
2018,Febuxostat,FL,4,231
2018,Allopurinol,GA,1,5912
2018,Febuxostat,GA,1,186
2018,Allopurinol,GA,2,6068
2018,Febuxostat,GA,2,195
2018,Allopurinol,GA,3,5799
2018,Febuxostat,GA,3,214
2018,Allopurinol,GA,4,5868
2018,Febuxostat,GA,4,220
2018,Allopurinol,HI,1,4504
2018,Febuxostat,HI,1,318
2018,Allopurinol,HI,2,4654
2018,Febuxostat,HI,2,361
2018,Allopurinol,HI,3,4336
2018,Febuxostat,HI,3,334
2018,Allopurinol,HI,4,3797
2018,Febuxostat,HI,4,303
2018,Allopurinol,IA,1,1048
2018,Febuxostat,IA,1,0
2018,Allopurinol,IA,2,1134
2018,Febuxostat,IA,2,22
2018,Allopurinol,IA,3,1137
2018,Febuxostat,IA,3,26
2018,Allopurinol,IA,4,1193
2018,Febuxostat,IA,4,25
2018,Allopurinol,ID,1,674
2018,Febuxostat,ID,1,20
2018,Allopurinol,ID,2,697
2018,Febuxostat,ID,2,13
2018,Allopurinol,ID,3,693
2018,Febuxostat,ID,3,15
2018,Allopurinol,ID,4,763
